season,week,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win,league
1,4,115.82,0.804,93.18,112.57,145.2,L,9,8.0,11,0.727,6,"['11624', '11631', '4195', '4881', '7588', '8130', '8228']","[np.float64(17.6), np.float64(14.4), np.float64(12.0), np.float64(19.92), np.float64(20.2), np.float64(22.6), np.float64(9.1)]",4,steveoreilly7,69.64,119.2,0.0,0.0,97.24,138.6,0.0,69.64,0.0,0.0,97.24,138.6,0.0,0.0,Across The Pond
1,4,70.34,0.744,52.35,99.39,135.5,L,5,0.0,11,0.0,7,"['11628', '1166', '1266', '1339', '4199', '6803', '7593']","[np.float64(10.3), np.float64(12.14), np.float64(6.0), np.float64(8.7), np.float64(10.6), np.float64(16.7), np.float64(5.9)]",4,JoeWright,102.10000000000001,79.78,1.0,6.0,119.19999999999999,127.68,0.0,102.10000000000001,1.0,6.0,119.19999999999999,127.68,0.0,0.0,Across The Pond
1,4,124.38,0.732,91.1,92.06,111.2,L,4,6.0,11,0.545,8,"['2747', '4037', '5045', '7553', '8143', '8151', '8183']","[np.float64(1.0), np.float64(21.9), np.float64(20.2), np.float64(16.6), np.float64(14.2), np.float64(19.7), np.float64(30.78)]",4,mikepearson,123.52000000000001,82.32,1.0,10.0,160.28,104.92,1.0,123.52000000000001,1.0,10.0,160.28,104.92,1.0,0.0,Across The Pond
1,4,145.2,0.775,112.57,93.18,115.82,W,6,11.0,11,1.0,9,"['2020', '4217', '4984', '5892', '6783', '7564', '8150']","[np.float64(11.0), np.float64(19.4), np.float64(31.4), np.float64(16.0), np.float64(17.0), np.float64(23.0), np.float64(27.4)]",4,benturvill61,119.2,69.64,1.0,9.0,138.6,97.24,1.0,119.2,1.0,9.0,138.6,97.24,1.0,0.0,Across The Pond
1,4,71.62,0.815,58.34,88.82,108.4,L,1,1.0,11,0.091,10,"['1466', '1479', '2449', '4034', '4137', '4666', '7523']","[np.float64(7.4), np.float64(4.5), np.float64(10.4), np.float64(28.4), np.float64(13.3), np.float64(4.0), np.float64(3.62)]",4,skjowitt,94.5,100.98,0.0,4.0,105.56,128.57999999999998,0.0,94.5,0.0,4.0,105.56,128.57999999999998,0.0,0.0,Across The Pond
1,4,99.76,0.803,80.1,66.95,81.8,W,12,4.0,11,0.364,11,"['4039', '5001', '6770', '6786', '7021', '8136']","[np.float64(20.4), np.float64(15.4), np.float64(20.26), np.float64(13.7), np.float64(10.5), np.float64(19.5)]",4,Dominichudson1986,91.08,105.14,0.0,3.0,99.68,118.70000000000002,0.0,91.08,0.0,3.0,99.68,118.70000000000002,0.0,0.0,Across The Pond
1,4,81.8,0.818,66.95,80.1,99.76,L,11,2.0,11,0.182,12,"['3294', '5850', '7525', '7611', '7839', '8110', '8121']","[np.float64(18.0), np.float64(15.8), np.float64(6.1), np.float64(16.9), np.float64(10.0), np.float64(12.1), np.float64(2.9)]",4,jhh82,105.14,91.08,1.0,7.0,118.70000000000002,99.68,1.0,105.14,1.0,7.0,118.70000000000002,99.68,1.0,0.0,Across The Pond
1,5,93.1,0.803,74.77,55.86,70.82,W,7,5.0,11,0.455,1,"['11533', '3321', '4035', '6130', '7591', '8676', '9484']","[np.float64(7.0), np.float64(4.4), np.float64(24.3), np.float64(14.6), np.float64(23.4), np.float64(17.1), np.float64(2.3)]",5,msouthwell,64.1,77.46,0.0,1.0,102.02,113.36,0.0,74.77,1.0,5.0,93.1,70.82,1.0,1.0,Across The Pond
1,5,112.7,0.794,89.54,83.09,105.6,W,8,11.0,11,1.0,2,"['10222', '11604', '4227', '4988', '6794', '7543', '9758']","[np.float64(14.8), np.float64(10.6), np.float64(7.0), np.float64(17.3), np.float64(15.6), np.float64(13.8), np.float64(33.6)]",5,Newty51,96.94,82.52000000000001,1.0,9.0,113.34,82.52000000000001,1.0,89.54,1.0,11.0,112.7,105.6,1.0,1.0,Across The Pond
1,5,98.58,0.693,68.29,76.15,97.35999999999999,L,4,4.0,11,0.364,3,"['10236', '11575', '1373', '2309', '3451', '5872', '6938']","[np.float64(9.5), np.float64(10.2), np.float64(11.28), np.float64(13.9), np.float64(7.0), np.float64(18.5), np.float64(28.2)]",5,TenAndJerry,66.78,75.82,0.0,2.0,66.88,88.72,0.0,68.29,0.0,4.0,98.58,97.35999999999999,1.0,0.0,Across The Pond
