season,manager,roster_id,h2h_wins,points_for,league
37,splangtree,9,7.0,1589.57,House of Hard Knocks
38,0llie,4,9.0,1581.42,House of Hard Knocks
38,DanCoulton,1,8.0,1696.46,House of Hard Knocks
38,JoeWright,10,4.0,1455.97,House of Hard Knocks
38,Jonnydubz,8,10.0,1730.86,House of Hard Knocks
38,MajorNC,2,7.0,1716.78,House of Hard Knocks
38,Pindeco,7,6.0,1646.56,House of Hard Knocks
38,Tomcoulton10,3,8.0,1703.54,House of Hard Knocks
38,calumedwards,5,7.0,1558.8,House of Hard Knocks
38,hyperpringle,6,8.0,1658.92,House of Hard Knocks
38,splangtree,9,8.0,1676.21,House of Hard Knocks
39,0llie,4,7.0,1555.8899999999999,House of Hard Knocks
39,DanCoulton,1,7.0,1603.88,House of Hard Knocks
39,JoeWright,10,7.0,1593.33,House of Hard Knocks
39,Jonnydubz,8,4.0,1639.79,House of Hard Knocks
39,MajorNC,2,9.0,1791.72,House of Hard Knocks
39,Pindeco,7,6.0,1529.8899999999999,House of Hard Knocks
39,Tomcoulton10,3,10.0,1750.97,House of Hard Knocks
39,calumedwards,5,9.0,1589.44,House of Hard Knocks
39,hyperpringle,6,7.0,1670.15,House of Hard Knocks
39,splangtree,9,9.0,1664.38,House of Hard Knocks
40,0llie,4,8.0,1662.58,House of Hard Knocks
40,DanCoulton,1,10.0,1791.19,House of Hard Knocks
40,JoeWright,10,5.0,1556.37,House of Hard Knocks
40,Jonnydubz,8,6.0,1571.44,House of Hard Knocks
40,MajorNC,2,8.0,1645.06,House of Hard Knocks
40,Pindeco,7,6.0,1523.2,House of Hard Knocks
40,Tomcoulton10,3,11.0,1677.35,House of Hard Knocks
40,calumedwards,5,6.0,1569.15,House of Hard Knocks
40,hyperpringle,6,5.0,1534.46,House of Hard Knocks
40,splangtree,9,10.0,1768.16,House of Hard Knocks
41,0llie,4,4.0,1573.64,House of Hard Knocks
41,DanCoulton,1,9.0,1612.19,House of Hard Knocks
41,JoeWright,10,8.0,1620.1,House of Hard Knocks
41,Jonnydubz,8,8.0,1697.43,House of Hard Knocks
41,MajorNC,2,8.0,1495.69,House of Hard Knocks
41,Pindeco,7,7.0,1658.61,House of Hard Knocks
41,Tomcoulton10,3,7.0,1638.19,House of Hard Knocks
41,calumedwards,5,7.0,1556.81,House of Hard Knocks
