gameweek,roster_id,pp_points,points,manager,matchup_id,opponent_id,pp_points_opponent,points_opponent,pp_win,win,all_play,league
3,4,99.02,92.02,DanCoulton,2,2,117.26,109.56,0.0,0.0,1.0,Across The Pond
3,5,105.56,103.53999999999999,JPLdavies2024,3,6,139.12,111.52000000000001,0.0,0.0,3.0,Across The Pond
3,6,139.12,111.52000000000001,steveoreilly7,3,5,105.56,103.53999999999999,1.0,1.0,6.0,Across The Pond
3,7,103.62000000000002,94.61999999999999,JoeWright,1,9,123.12,104.82,0.0,0.0,2.0,Across The Pond
3,8,106.02,88.92,mikepearson,4,1,159.24,134.24,0.0,0.0,0.0,Across The Pond
3,9,123.12,104.82,benturvill61,1,7,103.62000000000002,94.61999999999999,1.0,1.0,4.0,Across The Pond
3,10,137.82,124.02,WALLER79,5,3,164.02,144.52,0.0,0.0,7.0,Across The Pond
4,1,153.89999999999998,131.0,msouthwell,2,2,132.10000000000002,124.69999999999999,1.0,1.0,6.0,Across The Pond
4,2,132.10000000000002,124.69999999999999,jhh82,2,1,153.89999999999998,131.0,0.0,0.0,5.0,Across The Pond
4,3,97.94,79.64,Dominichudson1986,5,6,148.38,109.58,0.0,0.0,1.0,Across The Pond
4,4,119.68000000000002,106.68,DanCoulton,3,10,162.22,144.62,0.0,0.0,3.0,Across The Pond
4,5,142.06,131.44,JPLdavies2024,1,9,153.85999999999999,134.16,0.0,0.0,7.0,Across The Pond
4,6,148.38,109.58,steveoreilly7,5,3,97.94,79.64,1.0,1.0,4.0,Across The Pond
4,7,111.08,77.58,JoeWright,4,8,108.46000000000001,97.18,1.0,0.0,0.0,Across The Pond
4,8,108.46000000000001,97.18,mikepearson,4,7,111.08,77.58,0.0,1.0,2.0,Across The Pond
4,9,153.85999999999999,134.16,benturvill61,1,5,142.06,131.44,1.0,1.0,8.0,Across The Pond
4,10,162.22,144.62,WALLER79,3,4,119.68000000000002,106.68,1.0,1.0,9.0,Across The Pond
5,1,140.20000000000002,114.0,msouthwell,1,9,115.32000000000001,102.42,1.0,1.0,4.0,Across The Pond
5,2,120.02,112.42,jhh82,2,5,118.68,116.32000000000001,1.0,0.0,3.0,Across The Pond
5,3,143.6,129.5,Dominichudson1986,4,7,158.88,119.68,0.0,1.0,9.0,Across The Pond
5,4,132.04,128.94,DanCoulton,3,6,109.94,90.74,1.0,1.0,8.0,Across The Pond
5,5,118.68,116.32000000000001,JPLdavies2024,2,2,120.02,112.42,0.0,1.0,5.0,Across The Pond
5,6,109.94,90.74,steveoreilly7,3,4,132.04,128.94,0.0,0.0,1.0,Across The Pond
5,7,158.88,119.68,JoeWright,4,3,143.6,129.5,1.0,0.0,7.0,Across The Pond
5,8,80.52,78.42,mikepearson,5,10,124.73999999999998,116.72,0.0,0.0,0.0,Across The Pond
5,9,115.32000000000001,102.42,benturvill61,1,1,140.20000000000002,114.0,0.0,0.0,2.0,Across The Pond
5,10,124.73999999999998,116.72,WALLER79,5,8,80.52,78.42,1.0,1.0,6.0,Across The Pond
6,1,130.32000000000002,128.32,msouthwell,4,7,107.88,103.48,1.0,1.0,8.0,Across The Pond
6,2,89.58,81.18,jhh82,2,6,90.13999999999999,86.94,0.0,0.0,0.0,Across The Pond
6,3,144.06,118.36,Dominichudson1986,3,4,128.36,103.46000000000001,1.0,1.0,6.0,Across The Pond
6,4,128.36,103.46000000000001,DanCoulton,3,3,144.06,118.36,0.0,0.0,4.0,Across The Pond
6,5,141.74,129.24,JPLdavies2024,5,8,138.78,119.32,1.0,1.0,9.0,Across The Pond
6,6,90.13999999999999,86.94,steveoreilly7,2,2,89.58,81.18,1.0,1.0,1.0,Across The Pond
6,7,107.88,103.48,JoeWright,4,1,130.32000000000002,128.32,0.0,0.0,5.0,Across The Pond
6,8,138.78,119.32,mikepearson,5,5,141.74,129.24,0.0,0.0,7.0,Across The Pond
6,9,103.7,96.3,benturvill61,1,10,112.03999999999999,102.74000000000001,0.0,0.0,2.0,Across The Pond
6,10,112.03999999999999,102.74000000000001,WALLER79,1,9,103.7,96.3,1.0,1.0,3.0,Across The Pond
7,1,137.64,116.84,msouthwell,5,10,154.89999999999998,131.28,0.0,0.0,5.0,Across The Pond
7,2,129.94,122.64,jhh82,2,3,166.56,135.66,0.0,0.0,6.0,Across The Pond
7,3,166.56,135.66,Dominichudson1986,2,2,129.94,122.64,1.0,1.0,8.0,Across The Pond
7,4,127.83999999999999,101.64,DanCoulton,3,8,102.53999999999999,85.94,1.0,1.0,2.0,Across The Pond
7,5,154.26,144.86,JPLdavies2024,4,7,95.82000000000001,90.92,1.0,1.0,9.0,Across The Pond
